DSP Block Name,CE Net,RST Net,CLK Net,SHIFT_ENA Net,OP[0] Net,OP[1] Net,SHIFTER,SIGNED,RST_SYNC,C_EXT,P_EXT,A_REG,B_REG,C_REG,OP_REG,O_REG,P_REG,W_REG,CASCOUT_SEL,M_SEL,N_SEL,W_SEL,CE_POLARITY,CLK_POLARITY,RST_POLARITY,SHIFT_ENA_POLARITY
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[36].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[37].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[38].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[39].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[40].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[41].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[42].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[43].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[44].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[45].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[46].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[47].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[48].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[49].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[50].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[51].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[52].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[53].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[54].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[55].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
