DSP Block Name,CE Net,RST Net,CLK Net,SHIFT_ENA Net,OP[0] Net,OP[1] Net,SHIFTER,SIGNED,RST_SYNC,C_EXT,P_EXT,A_REG,B_REG,C_REG,OP_REG,O_REG,P_REG,W_REG,CASCOUT_SEL,M_SEL,N_SEL,W_SEL,CE_POLARITY,CLK_POLARITY,RST_POLARITY,SHIFT_ENA_POLARITY
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[21].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[22].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[23].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[24].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[25].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[26].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[27].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[28].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[29].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[30].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[31].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[32].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[33].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[34].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[35].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
